COUNTRY,YEAR,PC_DEP
ALB,1990,6.412
ALB,1991,-3.496
ALB,1992,-3.378
ALB,1993,0.194
ALB,1994,3.586
ALB,1995,6.696
ALB,1996,6.354
ALB,1997,8.776
ALB,1998,16.347
ALB,1999,41.525
ALB,2000,45.781
ALB,2001,52.21
ALB,2002,53.36
ALB,2003,50.757
ALB,2004,47.764
ALB,2005,49.71
ALB,2006,40.387
ALB,2007,49.179
ALB,2008,49.78
ALB,2009,46.388
ALB,2010,28.897
ALB,2011,35.658
ALB,2012,15.626
ALB,2013,25.3
ALB,2014,28.716
ALB,2015,12.593
ALB,2016,20.128
ALB,2017,38.126
ALB,2018,20.967
ALB,2019,31.546
ALB,2020,35.822
AUT,1990,68.826
AUT,1991,66.867
AUT,1992,68.662
AUT,1993,65.905
AUT,1994,65.449
AUT,1995,66.555
AUT,1996,69.596
AUT,1997,67.603
AUT,1998,70.371
AUT,1999,65.428
AUT,2000,65.543
AUT,2001,65.04
AUT,2002,68.022
AUT,2003,70.993
AUT,2004,71.072
AUT,2005,71.761
AUT,2006,72.257
AUT,2007,68.48
AUT,2008,68.738
AUT,2009,65.121
AUT,2010,62.779
AUT,2011,69.976
AUT,2012,63.782
AUT,2013,61.261
AUT,2014,65.62
AUT,2015,60.371
AUT,2016,62.099
AUT,2017,63.928
AUT,2018,64.231
AUT,2019,71.623
AUT,2020,58.324
BEL,1990,75.267
BEL,1991,77.077
BEL,1992,78.167
BEL,1993,76.775
BEL,1994,79.863
BEL,1995,80.952
BEL,1996,80.543
BEL,1997,78.419
BEL,1998,80.851
BEL,1999,77.028
BEL,2000,78.164
BEL,2001,80.693
BEL,2002,77.667
BEL,2003,79.704
BEL,2004,79.773
BEL,2005,79.908
BEL,2006,79.484
BEL,2007,76.879
BEL,2008,80.843
BEL,2009,75.913
BEL,2010,78.553
BEL,2011,76.463
BEL,2012,76.564
BEL,2013,77.777
BEL,2014,80.102
BEL,2015,84.146
BEL,2016,75.89
BEL,2017,75.257
BEL,2018,82.969
BEL,2019,77.592
BEL,2020,78.055
BGR,1990,63.429
BGR,1991,63.208
BGR,1992,56.599
BGR,1993,58.613
BGR,1994,55.346
BGR,1995,57.318
BGR,1996,56.403
BGR,1997,51.221
BGR,1998,50.259
BGR,1999,48.593
BGR,2000,46.409
BGR,2001,46.199
BGR,2002,46.917
BGR,2003,46.65
BGR,2004,48.34
BGR,2005,47.343
BGR,2006,46.223
BGR,2007,51.233
BGR,2008,52.154
BGR,2009,45.393
BGR,2010,40.146
BGR,2011,36.732
BGR,2012,36.853
BGR,2013,38.319
BGR,2014,35.172
BGR,2015,36.446
BGR,2016,38.472
BGR,2017,39.362
BGR,2018,36.325
BGR,2019,38.104
BGR,2020,37.882
BIH,2014,28.209
BIH,2015,33.693
BIH,2016,31.518
BIH,2017,34.031
BIH,2018,24.263
BIH,2019,27.377
BIH,2020,25.401
CYP,1990,98.295
CYP,1991,100.745
CYP,1992,99.859
CYP,1993,103.636
CYP,1994,97.006
CYP,1995,100.48
CYP,1996,98.175
